Vrsta Materijala;Davek;EM;IDENT;OPIS;KOLICINA;A_KOLICINA;PBI_ORD;ID_DOK;Tip Cene;PREV_SKL;CENA;VREDNOST;CENA2
;;KOS;9943181;10042950 SKLEDA OKROGLA 20 L-2000 /SREBR;2;0;84;22008986;;22610;;;
;;KOS;9942418;10043050 SKLEDA OKROGLA 25 L-2000 SREBRN;2;0;84;22008986;;22610;;;
;;KOS;9942420;10043124 SKLEDA OKROGLA 30 L-2000 MODRA;2;0;84;22008986;;22610;;;
;;KOS;9914111;SMETIŠNICA Z ROČAJEM- RINFUZA;16;0;87;22008983;;22610;;;
;;KOS;9916869;OMELO-MEŠANICA RINFUZA;20;0;87;22008983;;22610;;;
;;KOS;9946752;KRPA GOBASTA SPONGI 10X ORANŽNA NEVTRALN;90;0;87;22008983;;22610;;;
;;KOS;9946753;KRPA GOBASTA SPONGI 10X RUMENA NEVTRALNO;30;0;87;22008983;;22610;;;
;;KOS;8801080;GOBA ZA AVTO OBLIKOVANA;5;0;88;22008982;;22610;;;
;;KOS;9916713;BRISALO COTTON MOP Z ROČAJEM RINFUZA;72;0;89;22008981;;22610;;;
;;KOS;9914868;METLA LESENA 50 CM Z ROČAJEM-RINFUZA;20;0;90;22008980;;22610;;;
;;KOS;9914987;ŠČETKA ZA ČEVLJE Z ROČAJEM RINFUZA;24;0;90;22008980;;22610;;;
;;KOS;8800837;BRISALO ČUDEŽNO PVA MOP RINFUZA;15;0;90;22008980;;22610;;;
;;KOS;8101842;GOBA ZA RIB.S PRIJ.ZAR. 2+1 GRATIS PROFI;50;0;91;22008979;;22610;;;
;;KOS;8101995;INOX MAX 9/1 / SILVER VELIKA PROFI;40;0;91;22008979;;22610;;;
;;KOS;8111931;KRTAČKA ZA NOHTE OBOJESTRANSKA PROFI;10;0;91;22008979;;22610;;;
;;KOS;9912613;TUŠ GOBICA SIJAJ 3/1;100;0;91;22008979;;22610;;;
;;KOS;9913642;TUŠ GOBASTA KRPA SIJAJ 3/1;60;0;91;22008979;;22610;;;
;;KOS;9925574;TUŠ ČUDEŽNA MIKRO KRPA;10;0;91;22008979;;22610;;;
;;KOS;9925076;TUŠ ŽIČNA MREŽICA 3/1;30;0;91;22008979;;22610;;;
;;KOS;9925075;TUŠ KRPA ZA TLA;50;0;91;22008979;;22610;;;
;;KOS;9929262;TUŠ VRV ZA PERILO 20 M;10;0;91;22008979;;22610;;;
;;KOS;9932412;TUŠ WC ŠČETKA;10;0;91;22008979;;22610;;;
;;KOS;9932414;TUŠ ŠČETKA ZA ČIŠČENJE;10;0;91;22008979;;22610;;;
;;KOS;9932434;TUŠ MOČO RESA;10;0;91;22008979;;22610;;;
;;KOS;9932445;TUŠ ZUNANJA METLA Z ROČAJEM;5;0;91;22008979;;22610;;;
;;KOS;9932446;TUŠ NOTRANJA METLA Z ROČAJEM;5;0;91;22008979;;22610;;;
;;KOS;9932447;TUŠ SMETIŠNICA Z METLICO;10;0;91;22008979;;22610;;;
;;KOS;9932449;TUŠ REZERVNA KRPA ZA MICRO BRISALEC;24;0;91;22008979;;22610;;;
;;KOS;9929352;TUŠ SPIRALNA MREŽICA INOX 2/1;30;0;91;22008979;;22610;;;
;;KOS;9942931;TUŠ REZERVNA KRPA ZA TALNI BRISALEC EASY;24;0;91;22008979;;22610;;;
;;KOS;9942933;TUŠ REZERVNA KRPA ZA TALNI BRISALEC SOFT;24;0;91;22008979;;22610;;;
;;KOS;8800751;METLA OPTIMA FLOWER Z ROČAJEM;10;0;93;22008977;;22610;;;
;;KOS;9903960;ROČAJ LESEN;20;0;93;22008977;;22610;;;
;;KOS;8171030;AKCIJA 30;5;0;93;22008977;;22610;;;
;;KOS;8800752;METLA OPTIMA FLOWER;6;0;93;22008977;;22610;;;
;;KOS;8800748;METLA EXTRA;6;0;93;22008977;;22610;;;
;;KOS;8800334;MOČO RESA + DRŽALO;12;0;93;22008977;;22610;;;
;;KOS;8800896;BRISALEC ZA TLA Z ROČAJEM;12;0;93;22008977;;22610;;;
;;KOS;9914000;ACTION2GO 1;20;0;93;22008977;;22610;;;
;;KOS;9903965;METLA ZA CESTO;5;0;94;22008976;;22610;;;
;;KOS;9903941;METLA, LESENA 50 CM;5;0;94;22008976;;22610;;;
;;KOS;8800754;METLA MULTI;12;0;94;22008976;;22610;;;
;;KOS;9939876;KOMPLET ČISTILCEV PMA SET 5X;10;0;94;22008976;;22610;;;
;;M2;9930650;FLATEX JERMEN GG 140*75*13920-OP;1,044;1;96;22008974;;22410;;;
;;KOS;8800956;AKCIJA 3: METLA MULTI 3 KOS;10;0;99;22008971;;22610;;;
;;KOS;8800750;METLA STANDARD;12;0;99;22008971;;22610;;;
;;KOS;9923008;PMA ČUDEŽNA ROKAVICA;10;0;99;22008971;;22610;;;
