VRSTAMAT;DAVEK_PROC;EM;IDENT;NAZIV;KOLICINA;PORABA;ZELENA_KOL;ID_DOK;TIP_CENE;SKLADIŠČE;CENA;VREDNOST;CENA2
MAT;22;KOS;9906750;WC ŠČETKA Z ZANKO;29;29;0;22006671;EUR;22610;0,41;11,89;20220120
MAT;22;KOS;6113030;ROČNA RIBARICA OBLIKA LESENA PROFI M;2;2;0;22006670;EUR;22610;0,45;0,9;20221013
MAT;22;KOS;6118012;ZOBOTREBEC TULEC 3X110KOM BARVNI PROFI M;25;25;0;22006670;EUR;22610;0,33392;8,35;20220826
MAT;22;KOS;8800774;PVA PENA (REZERVNA GOBICA);3;3;0;22006670;EUR;22610;0,43454;1,3;20220830
MAT;22;KOS;9931554;METLA MULTI MOPEX;6;6;0;22006670;EUR;22610;0,43187;2,59;20220919
MAT;22;KOS;9939620;MICRO MOP (KRPA+PLATA);2,00001;2,00001;0;22006670;EUR;22610;0,98679;1,97;20210930
MAT;22;KOS;9940886;SMETIŠNICA Z GUMO SVETLO MODRA, TRANSP.;6;6;0;22006670;EUR;22610;0,2218;1,33;20221109
MAT;22;KOS;9940887;SMETIŠNICA Z METLO-GUMO SV.MODRA,TRANSP.;6;6;0;22006670;EUR;22610;0,4338;2,6;20221109
MAT;22;KOS;9941764;MICRO ČIST. KRPA+PLATA TUŠ WEIH;0,99999;0;0;22006670;EUR;22610;0,98679;0,99;20210930
MAT;22;KOS;9942176;FLISNA KRPA 90 GR, 38X38 PMG NOAM;12;12;0;22006670;EUR;22610;0,0555;0,67;20210513
MAT;22;KOS;9942579;ROČAJ TELESKOPSKI TIPITOP SIVI;3;3;0;22006670;EUR;22610;0,88;2,64;20220923
MAT;22;KOS;9942627;TT SMETIŠNICA Z GUMO SREBRNA;6;6;0;22006670;EUR;22610;0,282;1,69;20220919
MAT;22;KOS;9942630;TT VEDRO OVALNO 15L SREBRNA;3;3;0;22006670;EUR;22610;1,102;3,31;20221107
MAT;22;KOS;9942953;ROČAJ ZA GOSP. METLE 120/028L ČRNI;6;6;0;22006670;EUR;22610;0,352;2,11;20221121
POL;22;KOS;9928847;K/MULTI L18X20 AQUA TIPI TOP-POLIZDELEK;6;6;0;22006670;EUR;23610;0,054;0,32;0
MAT;22;KOS;9939626;SPIRALNA MREŽICA INOX 2/1 (BOX);2;0;0;22006670;EUR;23610;0,14677;0,29;20180326
MAT;22;M2;8800060;KOFIL FILTER Z OGLJEM C 20 C;38;38;38;22006669;EUR;25410;0,4555;17,31;0
MAT;22;KOS;9946641;KOFIL PRIROBNICA FI127;700;0;700;22006668;EUR;25410;0,99;693;0
POL;22;M2;9944167;FLIS/F 0110 210/245;1199;1199;1199;22006667;EUR;22210;0,443;531,16;0
POL;22;M2;9944167;FLIS/F 0110 210/245;1199;1199;1199;22006667;EUR;22210;0,443;531,16;0
POM;22;M2;9947262;TK. PES 55/45 BT Š.240 KONUS S;1166;1166;1166;22006667;EUR;22210;0,14;163,24;0
MAT;22;TM;9925816;MREŽA PES 500 MICR;52;0;52;22006666;EUR;25410;2,50843;130,44;0
POL;22;M2;9942302;FILTER PPS-550  KOFIL;3;0;3;22006665;EUR;23410;8,15;24,45;0
POL;22;M2;9942785;FILTER PE-501 AGT BT H - KOFIL;300;0;300;22006664;EUR;25410;0;0;0
POL;22;M2;9928913;PEK50/14 2150 MM ŠIR.DODELAN - KOFIL;14;14;14;22006663;EUR;23410;2,5;35;0
MAT;22;KOS;9935380;KOFIL FILTER VREČA 1;1;1;1;22006662;EUR;25410;6,90602;6,91;0
POL;22;M2;9928300;FILTER FF-10/250 K -KOFIL;80;0;80;22006661;EUR;23410;0,983;78,64;0
MAT;22;M2;9931352;"STEKLENI FILTER  VBB 3 """;88;88;88;22006661;EUR;25410;2,05755;181,06;0
POL;22;M2;9937733;KOFIL F 5/200K ROLE ŠIRINE 2M KOFIL;168;0;168;22006661;EUR;25410;0,811;136,25;0
MAT;22;KG;9947180;VL.PES 6,7/64 T54NSD SASA;1701;1701;1701;22006660;EUR;22230;1,73121;2944,79;0
MAT;22;KG;9906650;VL.PES 3,3/60 T54 NSD SASA;1602,87;1602,87;1602,87;22006659;EUR;22230;1,48114;2374,07;0
MAT;22;KG;9946723;VL.PES 1,6/51 T158 NSD SASA;3740,03;3740,03;3740,03;22006659;EUR;22230;1,4311;5352,36;0
POL;22;M2;9928269;FILTER F-07/260 K - KOFIL;13,2;0;13,2;22006658;EUR;23410;0,911;12,03;0
POM;22;KOS;9911895;OKVIR PROFIL 25 MM IN DOLŽINE 2400 MM;4;0;4;22006658;EUR;25410;1,34151;5,37;0
MAT;22;KOS;9927676;KOFIL N2 FV-G4P F 07/260;4;0;4;22006658;EUR;25410;0;0;0
MAT;22;KOS;9927676;KOFIL N2 FV-G4P F 07/260;2;0;2;22006658;EUR;25410;0;0;0
MAT;22;M2;9931352;"STEKLENI FILTER  VBB 3 """;82,5;82,5;82,5;22006658;EUR;25410;2,05755;169,75;0
POL;22;M2;9928437;FILTER G PE 010 SL - KOFIL;69,6864;0;69,6864;22006657;EUR;23410;0,951;66,27;0
POM;22;KOS;9929824;PLASTIČNI OBROČ EATON;140;140;140;22006657;EUR;23410;0;0;0
POL;22;M2;9933722;FILTER PE-550 HGT MIKRO - KOFIL;700;0;700;22006656;EUR;25410;0;0;0
MAT;22;KOS;9922046;KOFIL FVG T1 050;200;200;200;22006655;EUR;25410;1,39234;278,47;0
MAT;22;KOS;9923633;KOFIL FVG T2 050;200;200;200;22006655;EUR;25410;2,123;424,6;0
POL;22;M2;9943724;FILTER PE-501 AGT BT OH 210 KOFIL;14;0;14;22006654;EUR;23410;2,03;28,42;0
POL;22;M2;9943724;FILTER PE-501 AGT BT OH 210 KOFIL;12;0;12;22006654;EUR;23410;2,03;24,36;0
POL;22;M2;9947122;FILTER PE-401 AGT BT 205  KOFIL;0,5;0;0,5;22006654;EUR;23410;1,6;0,8;0
POL;22;M2;9931528;FILTER PE-401 HGT DX - KOFIL;9;0;9;22006653;EUR;25410;0;0;0
POL;22;M2;9931528;FILTER PE-401 HGT DX - KOFIL;4;0;4;22006653;EUR;25410;0;0;0
POL;22;M2;9931528;FILTER PE-401 HGT DX - KOFIL;2;0;2;22006653;EUR;25410;0;0;0
POL;22;M2;9928297;FILTER F-5/100 - KOFIL;66;0;66;22006652;EUR;23410;0,42;27,72;0
POL;22;M2;9946830;FLIS/F T4 (0101)25 427/222;1696;0;0;22006651;EUR;22210;0;0;0
POL;22;M2;9946830;FLIS/F T4 (0101)25 427/222;455,8;0;0;22006650;EUR;22210;0;0;0
MAT;22;KOS;9929805;TR.TRAK 2M5 U0-U2 HP W A -NE UPORABLJAJ;2,90404;0;2,90404;22006649;EUR;22410;31,56769;91,67;0
POL;22;M2;9928386;FILTER PE-401 HKT-OH;38,4;0;38,4;22006648;EUR;23410;1,54;59,14;0
POL;22;M2;9928391;FILTER PE-401 HGT - KOFIL;288;0;288;22006648;EUR;23410;1,32;380,16;0
POL;22;M2;9942134;FILTER PE-401 HGT-OH -KOFIL;38,4;38,4;38,4;22006648;EUR;23410;2,11;81,02;0
POL;22;M2;9942134;FILTER PE-401 HGT-OH -KOFIL;64,8;64,8;64,8;22006648;EUR;23410;2,11;136,73;0
POL;22;M2;9942134;FILTER PE-401 HGT-OH -KOFIL;18;18;18;22006648;EUR;23410;2,11;37,98;0
POL;22;M2;9942134;FILTER PE-401 HGT-OH -KOFIL;9;9;9;22006648;EUR;23410;2,11;18,99;0
POM;22;KG;9901480;VZMETNI TRAK ŠIR.25 MM,DEB.0,4 MM ČRNI;2,88;2,88;2,88;22006648;EUR;25410;4,96373;14,3;0
MAT;22;M2;9909495;+PE20/3 2060MM ŠIR.;6;0;6;22006648;EUR;25410;0;0;0
POM;22;KOS;9927821;KOVINSKI OBROČ FI 4 X 224(N);6;6;6;22006648;EUR;25410;0,2308;1,38;0
POM;22;KOS;9927821;KOVINSKI OBROČ FI 4 X 224(N);6;6;6;22006648;EUR;25410;0,2308;1,38;0
MAT;22;KOS;9930582;"PE20/3; 2060 MM";3,6;0;3,6;22006648;EUR;25410;0;0;0
POL;22;M2;9931534;FILTER PE-351 HGT EN - KOFIL;19,8;0;19,8;22006648;EUR;25410;1,11649;22,11;0
MAT;22;M2;9904834;TR.TRAK 2M12 V5-V10;6,25;6,25;6,25;22006647;EUR;22410;29,14487;182,16;0
MAT;22;M2;9938646;PLOŠČATI J. T40/30E;0,7029;0;0,7029;22006647;EUR;22410;183,5832;129,04;0
MAT;22;M2;9938646;PLOŠČATI J. T40/30E;0,693;0;0,693;22006647;EUR;22410;183,5832;127,22;0
MAT;22;M2;9938646;PLOŠČATI J. T40/30E;0,61248;0;0,61248;22006647;EUR;22410;183,5832;112,44;0
MAT;22;M2;329754;POLIAMID 20 (P 10/1-NA TRANSPARENT FDA);98,28;86,8;0;22006646;EUR;22210;27,10296;2663,68;20221111
MAT;22;M2;9913990;USNJE GOV CEPL KRUPON NATUR DT 2,6-2,8MM;133,38;0;0;22006646;EUR;22210;17,74019;2366,19;20120724
MAT;22;M2;9918711;TKANINA ČRNA;99,216;99;0;22006646;EUR;22210;5,26736;522,61;20210518
MAT;22;KG;9934231;VL.META ARAMID 2,0D/51MM HUVIS;2605,9;0;0;22006645;EUR;22210;16,99736;44293,42;20220927
POL;22;M2;9947161;FLIS/F 2420 200/215;11660;11660;0;22006645;EUR;22210;2,37296;27668,71;0
POM;22;M2;9947763;TK. META ARAMID 90/30-210CM FIBERLANE;11330;0;0;22006645;EUR;22210;1,4558;16494,21;20221021
MAT;22;KOS;9922044;KOFIL FVGS T1 400;10;0;10;22006644;EUR;25410;3,08;30,8;0
POT;22;KOS;106380;SUKANEC FILAN 30/12000M - NE NAROČUJ;0,07497;0,07497;0,07497;22006643;EUR;22410;15,79761;1,18;0
POL;22;M2;9928372;FILTER PE-500 HPS - KOFIL;226,8;226,8;226,8;22006643;EUR;23410;3,2;725,76;0
POL;22;M2;9928409;FILTER PE-352 HGT - KOFIL;75;0;75;22006642;EUR;23410;1,18;88,5;0
MAT;22;TM;9900773;MREŽA PES 200 MICR;12;12;12;22006641;EUR;25410;3,8525;46,23;0
POL;22;M2;9928297;FILTER F-5/100 - KOFIL;360;0;360;22006640;EUR;23410;0,42;151,2;0
POL;22;M2;9928376;FILTER F-10/150 - KOFIL;360;0;360;22006640;EUR;23410;0,499;179,64;0
POL;22;M2;9928380;FILTER F-20/400 - KOFIL;11,33568;0;11,33568;22006640;EUR;23410;0,988;11,2;0
POM;22;M2;9932632;FILTER F 15/200 - TATKO;80;0;80;22006640;EUR;25410;0,66;52,8;0
MAT;22;KG;9901795;VL.CEL 1,7/38 DULL SNIACE (1.KV);1134,903;0;1134,903;22006639;EUR;22230;2,06814;2347,14;0
MAT;22;KG;9936488;VL.PES 1,7/38 DULL CRIMP.VS WHI MOG 2/15;1361,8836;860;0;22006639;EUR;22230;1,35788;1849,27;0
MAT;22;KG;9945260;VL.CEL 2,8/38 SUBST. DULL LENZING;907,9224;907,9224;0;22006639;EUR;22230;2,2;1997,43;0
MAT;22;KG;9946528;VL.PES 3,3/64 REG. GRADE A WHITE ERTONA;1134,903;0;0;22006639;EUR;22230;1,45111;1646,87;0
POL;22;M2;9928936;POL.FLATEX JERMEN GG 140;1,2006;1,2006;1,2006;22006638;EUR;23410;84,3113;101,22;0
POL;22;M2;9945739;FLIS/F T3 (0101)25 525/222;31800;31692,09;0;22006637;EUR;22210;0;0;0
POM;22;KG;1000888;VEZIVO LITEX N 3415 M;521,883;521,883;0;22006636;EUR;22210;1,83;955,05;20220930
POM;22;KG;1000888;VEZIVO LITEX N 3415 M;208,7532;0;0;22006636;EUR;22210;1,83;382,02;20220930
POM;22;KG;1001140;AMONIJAK 25%, 50KG;0,243;0;0;22006636;EUR;22210;1,205;0,29;20221130
POM;22;KG;1001140;AMONIJAK 25%, 50KG;0,6075;0;0;22006636;EUR;22210;1,205;0,73;20221130
POM;22;KG;9925564;COAGULANT TEGO 4720 EVONIK, 50/200KG;0,3645;0;0;22006636;EUR;22210;17,91;6,53;20221213
POM;22;KG;9925564;COAGULANT TEGO 4720 EVONIK, 50/200KG;0,1458;0;0;22006636;EUR;22210;17,91;2,61;20221213
POM;22;KG;9935382;TEGO ANTIFOAM 2290, 50KG;0,243;0;0;22006636;EUR;22210;9,27;2,25;20220525
POM;22;KG;9935382;TEGO ANTIFOAM 2290, 50KG;0,6075;0;0;22006636;EUR;22210;9,27;5,63;20220525
POM;22;KG;9939500;SOPROPHOR TS10, 200KG;0,6075;0;0;22006636;EUR;22210;8,2;4,98;20221103
POM;22;KG;9939500;SOPROPHOR TS10, 200KG;0,243;0;0;22006636;EUR;22210;8,2;1,99;20221103
