VRSTAMAT;DAVEK_PROC;EM;IDENT;NAZIV;KOLICINA;A_KOLICINA;PORABA2;ID_DOK;TIP_CENE;SKLADIŠÈE;CENA;VREDNOST;PLAN_CENA
TRG;20;LM;9915104;GASCA VALTHERM E 80 GR/M2 WHITE;100;0;0;6000003;EUR;22200;122,6816;12268,16;0
TRG;20;LM;9915106;GASCA COL. ANTRACIT 80 GR/M2;100;0;0;6000003;EUR;22200;133,32022;13332,02;0
MAT;20;KOS;9911746;ROÈAJ ZA GOSP. METLE 120/028L RDEÈ;27;0;0;6000002;EUR;22610;48,23129;1302,24;48
IZD;20;KOM;8800759;SMETIŠNICA Z GUMO+OMELO;1;0;0;6000001;EUR;12228;93,96;93,96;93,96
;0;;;;0;0;0;5000008;EUR;;0;0;0
;0;;;;0;0;0;5000007;EUR;;0;0;0
IZD;0;KG;9913574;KONFLIN T-400/2000;183;0;0;5000006;EUR;22210;0;0;388,22
IZD;0;KG;9914506;KONFLIN M-150 T/2250;61,5;0;0;5000006;EUR;22210;0;0;388
IZD;20;M2;9906795;TM YRM-460;0,002;0;0;5000006;EUR;22210;19673,6;39,35;20657,3
TRG;0;KOS;9913036;K/FLOOR MA 250 90 X 200 CMS TRG DE;200;0;0;5000005;EUR;22200;209,9992;41999,84;0
TRG;0;M2;9914062;KO 83 2K/160;480;0;0;5000005;EUR;22200;52,96218;25421,85;0
TRG;0;KOS;9914763;K/FLOOR MA 40 X 50 CMS KIRSCH;695;0;0;5000005;EUR;22200;21,80584;15155,06;0
TRG;0;KOS;7701452;BRISAÈA DELINE 92 X 155;1;0;0;5000004;EUR;22300;763,81;763,81;0
TRG;0;KOS;7701455;BRISAÈA DEKSTER-2 70 X 140;1;0;0;5000004;EUR;22300;533,55;533,55;0
TRG;0;KOM;7770012;KLINASTI J. Z/10 Z23 3/4 605LI 621LW;3;0;0;5000004;EUR;22300;184,96324;554,89;0
TRG;0;KOM;7770016;KLINASTI J. Z/10 Z27 685LI 714LW;2;0;0;5000004;EUR;22300;212,93226;425,86;0
TRG;0;KOM;7770018;KLINASTI J. Z/10 Z28 1/2 725LI 750LW;1;0;0;5000004;EUR;22300;210,59013;210,59;0
TRG;0;KOM;7770030;KLINASTI J. Z/10 Z35 890LI 914LW;1;0;0;5000004;EUR;22300;236,78728;236,79;0
TRG;0;KOS;7770032;KLINASTI J. Z/10 Z36 1/2 925LI 950LW;3;0;0;5000004;EUR;22300;266,2377;798,71;0
TRG;0;KOM;7770057;KLINASTI J. Z/10 Z51 1295LI 1340LW;4;0;0;5000004;EUR;22300;405,03682;1620,15;0
TRG;0;KOM;7770061;KLINASTI J. Z/10 Z55 1400LI 1420LW;2;0;0;5000004;EUR;22300;294,89295;589,79;0
