ID_ART,NAZIV,TIP_ART,POREKLO,EAN,DOBAVITELJ,PROIZVAJAL,KLASIFIKAC,SKUPINA_4,SKUPINA_3,SKUPINA_2,SKUPINA_1,SLED,ZALOGE,INTRASTAT
4000102,ŠKORNJI GUMENI NAVADNI 40 - NE,DRI,,,,,207030000,,0,,1,N,,
4000277,OMARICA RK,DRI,,,,,1,,0,,1,N,,
4000560,STROJ VRTALNI ISKRA VS 602 B,DRI,,,,,1,,0,,1,N,,
4000587,MERILO KLJUNASTO AV3 31001,DRI,,,,,1,,0,,1,N,,
4000773,NOŽI 0LFA ŠIROKI,DRI,,,,,207080000,,208,,1,N,,
4000978,HLADILNIK,DRI,,,,,1,,0,,1,N,,
4001133,EL.KUHALNIK,DRI,,,,,1,,0,,1,N,,
4001141,SVETILKA INDUSTRIJSKA POTEZNA,DRI,,,,,1,,0,,1,N,,
4001303,METER 3M KALIBRIRAN S POTRDILOM,DRI,,,,,207040000,,208,,1,N,,
4001389,OMARA GARDEROBNA KOVINSKA,DRI,,,,,1,,0,,1,N,,
4001486,STROJ BRUSILNI S3,DRI,,,,,1,,0,,1,N,,
4001494,STISKALNICA EHP-10,DRI,,,,,1,,0,,1,N,,
4003187,GASILSKI APARAT ROÈNI S T16 6KG,DRI,,,,,1,,0,,1,N,,
4004000,OBLEKE DELOVNE MOŠKE-ŽENSKE KONUS,DRI,,,,,207030000,,208,,1,N,,
4004183,PLAŠÈ DELOVNI MOŠKI-ŽENSKI KONUS,DRI,,,,,207030000,,208,,1,N,,
4004450,SANDAL ART. A113 S KAPICO ÈRN,DRI,,,,,207030000,,208,,1,N,,
4004558,ÈEVLJI ORTOPEDSKI ŽENSKI MEDICINSKI 39,DRI,,,,,207030000,,0,,1,N,,
4004655,KOMBINEZON,DRI,,,,,207030000,,0,,1,N,,
4004809,BUNDE ZAŠÈITNE PODLOŽENE,DRI,,,,,207030000,,208,,1,N,,
4005414,PILE PLOŠÈATE -RAŠPLJE,DRI,,,,,1,,0,,1,N,,
4006437,KAPE ZAŠÈITNE,DRI,,,,,207030000,,208,,,N,,
4010906,PREBIJAÈ FI2X110,DRI,,,,,1,,0,,1,N,,
4011813,KLEŠÈE KONIÈASTE,DRI,,,,,1,,0,,1,N,,
4011880,KLEŠÈE CEVNE NAST.1 L 320,DRI,,,,,1,,0,,1,N,,
4012445,KLADIVO KLJUÈ. 500GR,DRI,,,,,1,,0,,1,N,,
