ID_ART,NAZIV,TIP_ART,POREKLO,EAN,DOBAVITELJ,PROIZVAJAL,KLASIFIKAC,SKUPINA_4,SKUPINA_3,SKUPINA_2,SKUPINA_1,SLED,ZALOGE,INTRASTAT
9938985,APRET.VODOODB. C6 SILON N-500  ANTRACIT,STO,,,,,102200000,,,,,N,,
9939023,USLUGA PERFORACIJE,STO,,,,,,,,,,N,,
9939092,ARTIKEL VZ109,STO,,,,,300000000,,300,,1,N,,
9939094,ARTIKEL VZ108 ANTIMIKROBNA OBDELAVA,STO,,,,,300000000,,300,,1,N,,
9939095,ARTIKEL VZ110 WHITE NOT PRINTED,STO,,,,,300000000,,300,,1,N,,
9939284,APRET.VODOODBOJNO C6 SILON 302 1.20 MM,STO,,,,,102200000,,,,,N,,
9939356,CEPLJENJE,STO,,,,,,,,,,N,,
9939569,APRET.VODOODB. SILON N-320 OH C-6,STO,,,,,102200000,,,,,N,,
9939696,APRET.VODOODB. C6 SILON WR 28  BLACK,STO,,,,,102200000,,,,,N,,
9939697,APRET.VODOODB. C6 SILON WR 28  BIANCO,STO,,,,,102200000,,,,,N,,
9939846,STORITEV VZDRŽEVANJA-METALKOM,STO,,,,,,,,,,N,,
